Estación,Código,Región,Departamento,Municipio,Latitude,Longitude,Altitude
CONCEPCION,INS050101AT,BOCACOSTA,ESCUINTLA,ESCUINTLA,14.32352,-90.78758,421
AMATITLÁN,INS011401AT,ALTIPLANO CENTRAL,GUATEMALA,AMATITLÁN,14.46785,-90.63039,1205
ANTIGUA GUATEMALA,INS030101AT,ALTIPLANO CENTRAL,SACATEPÉQUEZ,ANTIGUA GUATEMALA,14.53974,-90.7383,1539
IXCHIGUAN,INS122301AT,OCCIDENTE,SAN MARCOS,IXCHIGUÁN,15.16483,-91.9395,3336
JALAPA,INS210101AT,VALLES DE ORIENTE,JALAPA,JALAPA,14.59639,-89.96739,1352
LA REFORMA,INS122101AT,BOCACOSTA,SAN MARCOS,LA REFORMA,14.8,-91.8167,1133
LO DE COY,INS010801AT,ALTIPLANO CENTRAL,GUATEMALA,MIXCO,14.62109,-90.59922,1686
MARISCOS,INS180501AT,CARIBE,IZABAL,IZABAL,15.42866,-89.07781,16
MORALES MET,INS180401AT,CARIBE,IZABAL,MORALES,15.478211,-88.823711,123
PACHUTE,INS090401AT,OCCIDENTE,QUETZALTENANGO,SAN CARLOS SIJA,14.98341,-91.57365,2682
SAN JOSE PINULA,INS010301AT,ALTIPLANO CENTRAL,GUATEMALA,SAN JOSÉ PINULA,14.52392,-90.39191,1744
SAN PEDRO AYAMPUC,INS010701AT,ALTIPLANO CENTRAL,GUATEMALA,SAN PEDRO AYAMPUC,14.7834166,-90.4500096,1269
SANTA CRUZ QUICHE,INS140101AT,OCCIDENTE,QUICHÉ,SANTA CRUZ DEL QUICHÉ,15.05016,-91.15395,2082
SANTA MARGARITA,INS040801AT,BOCACOSTA,CHIMALTENANGO,POCHUTA,14.50575,-91.01144,1137
TOTONICAPAN,INS080101AT,OCCIDENTE,TOTONICAPÁN,TOTONICAPÁN,14.91082,-91.36441,2478
PLAYA GRANDE IXCAN,INS142201AT,FRANJA TRANSVERSAL DEL NORTE,QUICHÉ,IXCÁN,15.98888,-90.74017,186
